ej_index	label	order	type_equiv_class_size
297	51840.b.27.a1.a1	1920	1
298	51840.b.5760.b1.a1	9	1
299	51840.b.2880.o1.a1	18	1
300	51840.b.4320.l1.a1	12	1
301	51840.b.2160.m1.a1	24	1
302	51840.b.2160.r1.a1	24	2
303	51840.b.2160.o1.a1	24	1
304	51840.b.2160.p1.a1	24	2
305	51840.b.2160.n1.a1	24	1
306	51840.b.1080.n1.a1	48	1
307	51840.b.1080.r1.a1	48	2
308	51840.b.1080.o1.a1	48	1
309	51840.b.1080.p1.a1	48	2
310	51840.b.720.g1.a1	72	1
311	51840.b.540.k1.a1	96	1
312	51840.b.540.i1.a1	96	1
313	51840.b.540.h1.a1	96	1
314	51840.b.540.g1.a1	96	1
315	51840.b.360.b1.a1	144	1
316	51840.b.270.h1.a1	192	1
317	51840.b.270.f1.a1	192	1
318	51840.b.270.a1.a1	192	1
319	51840.b.270.d1.a1	192	1
320	51840.b.180.a1.a1	288	1
321	51840.b.135.a1.a1	384	1
322	51840.b.90.b1.a1	576	1
323	51840.b.90.c1.a1	576	1
324	51840.b.90.a1.a1	576	1
325	51840.b.45.a1.a1	1152	1
326	51840.b.1920.b1.a1	27	1
327	51840.b.1920.a1.a1	27	1
328	51840.b.960.f1.a1	54	2
329	51840.b.960.c1.a1	54	2
330	51840.b.960.e1.a1	54	1
331	51840.b.640.a1.a1	81	1
332	51840.b.480.g1.a1	108	1
333	51840.b.480.f1.a1	108	1
334	51840.b.320.b1.a1	162	2
335	51840.b.320.a1.a1	162	1
336	51840.b.320.b2.a1	162	2
337	51840.b.240.i1.a1	216	1
338	51840.b.240.g1.a1	216	1
339	51840.b.240.h1.a1	216	1
340	51840.b.160.b1.a1	324	1
341	51840.b.160.a1.a1	324	1
342	51840.b.120.b1.a1	432	1
343	51840.b.80.c1.a1	648	1
344	51840.b.80.d1.a1	648	1
345	51840.b.80.a1.a1	648	1
346	51840.b.80.b1.a1	648	1
347	51840.b.40.b1.a1	1296	1
348	51840.b.40.a1.a1	1296	1
349	51840.b.2.a1.a1	25920	1
350	51840.b.540.l1.a1	96	1
